Total boxes: 431
obj-418 | comment | FrqTester_LR_MOD_Laser: stereo patch, headphoes out put or interface outs 1 + 2
obj-424 | comment | Mute
obj-423 | comment | Solo
obj-422 | comment | Select fader face%
obj-421 | comment | * Pitch buttons inc(rease / dec(rease)
  Hold for continous change
obj-419 | comment | Select fader steps: Units, decimal or cents
obj-467 | newobj | scale 0. 1. -20 0
obj-451 | flonum | 
obj-465 | flonum | 
obj-450 | newobj | scale 0. 1. -20 0
obj-27 | newobj | +~
obj-63 | flonum | 
obj-73 | newobj | +~ 0.1
obj-82 | newobj | +~ 0.1
obj-189 | meter~ | 
obj-414 | flonum | 
obj-415 | newobj | vst~ C74_VST3:/MAnalyzer
obj-416 | newobj | vst~ "C74_VST3:/Youlean Loudness Meter 2"
obj-417 | meter~ | 
obj-413 | newobj | s PW8
obj-412 | comment | Rect PW
obj-98 | flonum | 
obj-89 | slider | 
obj-102 | ezdac~ | 
obj-411 | panel | 
obj-66 | comment | phase reset (all)
obj-30 | button | 
obj-410 | panel | 
obj-301 | comment | Oscilators 5-8 Right channel or X axis
obj-300 | comment | Oscilators 1- 4 Left channel or Y axis
obj-281 | comment | set size of the display buffer (8-256, default 128)
obj-283 | comment | set the number of samples collected for each value in the display buffer (2-8092, default 128)
obj-139 | comment | Sample Scope
obj-104 | comment | Buffer Scope: capture rate to see frecuencies sum or cancelation 
obj-96 | number | 
obj-77 | newobj | scale 1 127 40. 50.
obj-74 | newobj | scale 1 127 40. 50.
obj-95 | message | -0.5 0.5
obj-91 | message | -1 1
obj-92 | message | -0.2 0.2
obj-93 | attrui | 
obj-85 | newobj | r~ mixR
obj-88 | newobj | r~ mixL
obj-76 | scope~ | 
obj-16 | message | 0
obj-26 | newobj | send setphase0
obj-405 | newobj | s phase8
obj-406 | flonum | 
obj-407 | comment | Phase 0-1
obj-401 | newobj | s phase7
obj-403 | flonum | 
obj-404 | comment | Phase 0-1
obj-348 | newobj | s phase6
obj-349 | flonum | 
obj-350 | comment | Phase 0-1
obj-345 | newobj | s phase5
obj-346 | flonum | 
obj-347 | comment | Phase 0-1
obj-315 | newobj | s phase4
obj-316 | flonum | 
obj-318 | comment | Phase 0-1
obj-309 | newobj | s phase3
obj-313 | flonum | 
obj-314 | comment | Phase 0-1
obj-305 | newobj | s phase2
obj-306 | flonum | 
obj-307 | comment | Phase 0-1
obj-72 | newobj | s phase1
obj-59 | flonum | 
obj-28 | comment | Phase 0-1
obj-81 | newobj | - 76.2
obj-83 | newobj | - 38.1
obj-80 | scope~ | 
obj-79 | newobj | scale 1 127 103. 109.
obj-78 | newobj | scale 1 127 20 60
obj-84 | newobj | scale 1 127 20. 90.
obj-75 | newobj | scale 1 127 40. 50.
obj-2 | newobj | scale 1 127 40. 50.
obj-25 | newobj | + 127
obj-24 | newobj | + 127
obj-23 | newobj | + 127
obj-317 | newobj | r mixout2
obj-402 | message | 1000
obj-399 | number | 
obj-400 | newobj | * 0.
obj-303 | kslider | 
obj-302 | newobj | ftom
obj-183 | newobj | udpsend 127.0.0.1 7400
obj-398 | newobj | sel 127
obj-397 | newobj | sel 127
obj-396 | newobj | sel 127
obj-395 | newobj | sel 127
obj-394 | newobj | sel 127
obj-393 | newobj | sel 127
obj-392 | newobj | sel 127
obj-391 | newobj | sel 127
obj-390 | newobj | sel 127
obj-389 | newobj | sel 127
obj-388 | newobj | sel 127
obj-387 | newobj | sel 127
obj-386 | newobj | sel 127
obj-385 | newobj | sel 127
obj-384 | newobj | sel 127
obj-383 | newobj | sel 127
obj-375 | comment | dec
obj-376 | comment | inc
obj-377 | newobj | s p8dec
obj-378 | newobj | ctlin 71 1
obj-379 | newobj | s p8inc
obj-380 | newobj | ctlin 55 1
obj-381 | button | 
obj-382 | button | 
obj-367 | comment | dec
obj-368 | comment | inc
obj-369 | newobj | s p7dec
obj-370 | newobj | ctlin 70 1
obj-371 | newobj | s p7inc
obj-372 | newobj | ctlin 54 1
obj-373 | button | 
obj-374 | button | 
obj-359 | comment | dec
obj-360 | comment | inc
obj-361 | newobj | s p6dec
obj-362 | newobj | ctlin 69 1
obj-363 | newobj | s p6inc
obj-364 | newobj | ctlin 53 1
obj-365 | button | 
obj-366 | button | 
obj-351 | comment | dec
obj-352 | comment | inc
