obj-418 | comment | FrqTester_LR_MOD_Laser: stereo patch, headphoes out put or interface outs 1 + 2 | X:19.069263499999977 Y:16.0
obj-424 | comment | Mute | X:330.0 Y:365.55551949999995
obj-423 | comment | Solo | X:324.0 Y:301.14153317058185
obj-422 | comment | Select fader face% | X:175.51795950000005 Y:518.0
obj-421 | comment | * Pitch buttons inc(rease / dec(rease)
  Hold for continous change | X:211.41156 Y:96.742516
obj-419 | comment | Select fader steps: Units, decimal or cents | X:1482.3157765605774 Y:67.0
obj-451 | flonum |  | X:2283.3332788944244 Y:1024.8333086371422
obj-465 | flonum |  | X:2289.9999454021454 Y:489.9999883174896
obj-189 | meter~ |  | X:2051.6666177511215 Y:1021.6666423082352
obj-417 | meter~ |  | X:2058.9258933579254 Y:486.8333219885826
obj-412 | comment | Rect PW | X:1285.3218684957503 Y:644.6961499947892
obj-98 | flonum |  | X:1331.555908 Y:709.688955596344
obj-89 | slider |  | X:1239.598389 Y:673.5211864517285
obj-102 | ezdac~ |  | X:2152.335439357925 Y:572.1843800387114
obj-411 | panel |  | X:2135.479860356212 Y:557.9402650167503
obj-66 | comment | phase reset (all) | X:103.45556310472875 Y:601.9402650167503
obj-30 | button |  | X:59.30662707147985 Y:599.9402650167503
obj-410 | panel |  | X:49.66143 Y:590.3476718833008
obj-301 | comment | Oscilators 5-8 Right channel or X axis | X:49.66143 Y:665.0990187205884
obj-300 | comment | Oscilators 1- 4 Left channel or Y axis | X:20.93920814865112 Y:47.0
obj-104 | comment | Buffer Scope: capture rate to see frecuencies sum or cancelation  | X:2099.1896638035196 Y:93.242523
obj-96 | number |  | X:2015.5942175640182 Y:92.242523
obj-76 | scope~ |  | X:1482.3157765605774 Y:673.5211864517285
obj-406 | flonum |  | X:1379.161743 Y:1100.9435887571108
obj-407 | comment | Phase 0-1 | X:1262.997925 Y:1100.9435887571108
obj-403 | flonum |  | X:1016.064758 Y:1096.8480821655348
obj-404 | comment | Phase 0-1 | X:899.90094 Y:1096.8480821655348
obj-349 | flonum |  | X:657.510986 Y:1096.8480821655348
obj-350 | comment | Phase 0-1 | X:541.347168 Y:1096.8480821655348
obj-346 | flonum |  | X:304.9316785 Y:1100.9435887571108
obj-347 | comment | Phase 0-1 | X:188.76786049999998 Y:1100.9435887571108
obj-316 | flonum |  | X:1352.1617429999997 Y:453.787201
obj-318 | comment | Phase 0-1 | X:1235.9979249999997 Y:453.787201
obj-313 | flonum |  | X:1001.9316785000001 Y:453.787201
obj-314 | comment | Phase 0-1 | X:885.7678605000001 Y:453.787201
obj-306 | flonum |  | X:643.065307 Y:453.787201
obj-307 | comment | Phase 0-1 | X:526.901489 Y:453.787201
obj-59 | flonum |  | X:284.5939105 Y:453.787201
obj-28 | comment | Phase 0-1 | X:175.51795950000005 Y:453.787201
obj-80 | scope~ |  | X:1482.3157765605774 Y:107.2620041820984
obj-375 | comment | dec | X:1255.901001 Y:1008.616393165535
obj-376 | comment | inc | X:1255.901001 Y:942.238769165535
obj-381 | button |  | X:1279.901001 Y:997.749450165535
obj-382 | button |  | X:1279.901001 Y:932.098082165535
obj-367 | comment | dec | X:899.90094 Y:1008.616393165535
obj-368 | comment | inc | X:899.90094 Y:942.238769165535
obj-373 | button |  | X:923.90094 Y:997.749450165535
obj-374 | button |  | X:923.90094 Y:932.098082165535
obj-359 | comment | dec | X:548.90094 Y:1008.616393165535
obj-360 | comment | inc | X:548.90094 Y:942.238769165535
obj-365 | button |  | X:572.90094 Y:997.749450165535
obj-366 | button |  | X:572.90094 Y:932.098082165535
obj-351 | comment | dec | X:202.90094 Y:1008.616393165535
obj-352 | comment | inc | X:202.90094 Y:942.238769165535
obj-357 | button |  | X:226.90094 Y:997.749450165535
obj-358 | button |  | X:226.90094 Y:932.098082165535
obj-337 | comment | dec | X:1239.598389 Y:365.555511
obj-338 | comment | inc | X:1239.598389 Y:299.177887
obj-343 | button |  | X:1263.598389 Y:354.688599
obj-344 | button |  | X:1263.598389 Y:289.037231
obj-329 | comment | dec | X:894.901489 Y:365.555511
obj-330 | comment | inc | X:894.901489 Y:299.177887
obj-335 | button |  | X:918.901489 Y:354.688599
obj-336 | button |  | X:918.901489 Y:289.037231
obj-321 | comment | dec | X:526.901489 Y:365.555511
obj-322 | comment | inc | X:526.901489 Y:299.177887
obj-327 | button |  | X:550.901489 Y:354.688599
obj-328 | button |  | X:550.901489 Y:289.037231
obj-320 | comment | dec | X:162.859314 Y:363.05551949999995
obj-319 | comment | inc | X:168.0 Y:301.14153317058185
obj-299 | button |  | X:205.90152 Y:354.688599
obj-297 | button |  | X:205.90152 Y:289.037231
obj-209 | comment | C | X:1717.3229714458312 Y:29.457886
obj-208 | comment | D | X:1599.9767804458313 Y:29.457886
obj-206 | comment | U | X:1486.3337144458312 Y:29.457886
obj-205 | toggle |  | X:1520.3337144458312 Y:29.457886
obj-204 | toggle |  | X:1631.1829574458313 Y:29.457886
obj-203 | toggle |  | X:1750.3229714458312 Y:29.457886
obj-176 | comment | Pitch | X:1297.997925 Y:807.348082165535
obj-175 | comment | Pitch | X:944.439026 Y:807.348082165535
obj-174 | comment | Pitch | X:591.684998 Y:807.348082165535
obj-173 | comment | Pitch | X:246.41156 Y:807.348082165535
obj-172 | comment | Pitch | X:1278.289795 Y:164.287201
obj-164 | comment | Pitch | X:933.40155 Y:164.287201
obj-3 | comment | Pitch | X:570.347168 Y:164.287201
obj-218 | flonum |  | X:2146.1873683579256 Y:959.124358165535
obj-219 | comment | dB | X:2263.1873683579256 Y:963.624358165535
obj-217 | flonum |  | X:2152.335439357925 Y:427.063059052231
obj-215 | comment | dB | X:2266.335439357925 Y:432.3593554103395
obj-213 | levelmeter~ |  | X:2058.9258933579254 Y:807.348082165535
obj-212 | levelmeter~ |  | X:2058.9258933579254 Y:275.28678305223093
obj-255 | meter~ |  | X:1208.976196 Y:807.348082165535
obj-264 | toggle |  | X:1348.313354 Y:997.749450165535
obj-265 | toggle |  | X:1348.313354 Y:932.098082165535
obj-267 | slider |  | X:1128.146851 Y:807.348082165535
obj-286 | flonum |  | X:1128.146851 Y:1096.8480821655348
obj-294 | flonum |  | X:1262.997925 Y:860.303405165535
obj-295 | message | 8 | X:1223.367065 Y:723.803405165535
obj-296 | toggle |  | X:1217.705688 Y:714.0155021655349
obj-142 | meter~ |  | X:854.3797 Y:807.348082165535
obj-151 | toggle |  | X:994.754456 Y:997.749450165535
obj-152 | toggle |  | X:994.754456 Y:932.098082165535
obj-154 | slider |  | X:774.177795 Y:807.348082165535
obj-165 | flonum |  | X:774.177795 Y:1096.8480821655348
obj-167 | flonum |  | X:909.439026 Y:860.303405165535
obj-168 | message | 7 | X:869.367004 Y:723.803405165535
obj-169 | toggle |  | X:863.705627 Y:714.0155021655349
obj-64 | meter~ |  | X:501.348572 Y:807.348082165535
obj-62 | meter~ |  | X:147.348572 Y:807.348082165535
obj-58 | meter~ |  | X:1186.630493 Y:164.287201
obj-54 | meter~ |  | X:841.86322 Y:164.287201
obj-52 | meter~ |  | X:482.54895 Y:164.287201
obj-51 | meter~ |  | X:129.90152 Y:164.287201
obj-223 | toggle |  | X:642.000427 Y:997.749450165535
obj-224 | toggle |  | X:642.000427 Y:932.098082165535
obj-228 | toggle |  | X:296.72699 Y:997.749450165535
obj-229 | toggle |  | X:296.72699 Y:932.098082165535
obj-199 | toggle |  | X:1331.555908 Y:354.688599
obj-207 | toggle |  | X:1331.555908 Y:289.037231
obj-194 | toggle |  | X:986.667725 Y:354.688599
obj-195 | toggle |  | X:986.667725 Y:289.037231
obj-182 | toggle |  | X:623.613342 Y:354.688599
obj-190 | toggle |  | X:623.613342 Y:289.037231
obj-115 | toggle |  | X:270.167664 Y:354.688599
obj-114 | toggle |  | X:270.167664 Y:289.037231
obj-248 | slider |  | X:421.14679 Y:807.348082165535
obj-240 | slider |  | X:67.146805 Y:807.348082165535
obj-232 | slider |  | X:1103.4324733782653 Y:164.287201
obj-70 | slider |  | X:761.661438 Y:164.287201
obj-20 | slider |  | X:402.347168 Y:164.287201
obj-8 | slider |  | X:49.66143 Y:164.287201
obj-237 | flonum |  | X:49.66143 Y:453.787201
obj-239 | flonum |  | X:402.347168 Y:453.787201
obj-242 | flonum |  | X:761.661438 Y:453.787201
obj-245 | flonum |  | X:1107.844238 Y:453.787201
obj-247 | flonum |  | X:67.146805 Y:1096.8480821655348
obj-253 | flonum |  | X:421.14679 Y:1096.8480821655348
obj-122 | flonum |  | X:181.90152 Y:217.242523
obj-119 | flonum |  | X:535.347168 Y:217.242523
obj-111 | flonum |  | X:898.40155 Y:217.242523
obj-108 | flonum |  | X:1243.289795 Y:217.242523
obj-100 | flonum |  | X:211.41156 Y:860.303405165535
obj-97 | flonum |  | X:556.684998 Y:860.303405165535
obj-101 | message | 6 | X:516.83905 Y:723.803405165535
obj-112 | message | 5 | X:162.859314 Y:723.803405165535
obj-57 | message | 4 | X:1192.046021 Y:80.742523
obj-46 | message | 3 | X:849.556824 Y:80.742523
obj-35 | message | 2 | X:496.290619 Y:80.742516
obj-4 | message | 1 | X:144.864929 Y:80.742516
obj-1 | comment | Pitch | X:217.40152 Y:164.287201
obj-22 | toggle |  | X:511.177673 Y:714.0155021655349
obj-38 | toggle |  | X:157.443665 Y:714.0155021655349
obj-39 | toggle |  | X:1186.630493 Y:70.95462
obj-44 | toggle |  | X:843.040955 Y:70.95462
obj-45 | toggle |  | X:490.290619 Y:70.954613
obj-49 | toggle |  | X:137.869232 Y:70.95462
obj-107 | comment | R | X:2186.1873683579256 Y:761.0608811655349
obj-106 | comment | L | X:2178.3997703579253 Y:235.99958205223083
obj-408 | panel |  | X:20.93920814865112 Y:14.530426000000006
obj-409 | panel |  | X:20.93920814865112 Y:631.5674549087296
obj-pw1_slider | slider |  | X:49.66143 Y:490.0
obj-pw1_label | comment | Duty Cycle | X:49.66143 Y:515.0
